0	0	1840415900	0	1	1400820300	0	2	293100	0	3	25626550	0	4	21837050	0	5	3477500	0	6	12544000	0	7	8953175800	0	8	7851707200	
1	0	1387452700	1	1	1467324300	1	2	289730	1	3	26049010	1	4	23465950	1	5	4739600	1	6	20738700	1	7	9481356800	1	8	7689200100	
2	0	1406103900	2	1	1421720500	2	2	317930	2	3	25314670	2	4	27875940	2	5	2732000	2	6	13252000	2	7	9891578700	2	8	12261606500	
3	0	1729458300	3	1	1368017400	3	2	309080	3	3	37205700	3	4	33264370	3	5	4183600	3	6	12298600	3	7	9330399100	3	8	7550169300	
4	0	1550846500	4	1	1413090500	4	2	5151680	4	3	25179260	4	4	23287510	4	5	2332600	4	6	11237400	4	7	10505118800	4	8	12825115100	
5	0	1509178900	5	1	1466592000	5	2	286590	5	3	24527870	5	4	22132350	5	5	2669900	5	6	11982700	5	7	8879454000	5	8	8519124800	
6	0	1413165400	6	1	1608133400	6	2	419440	6	3	28960980	6	4	23127150	6	5	3091100	6	6	14212500	6	7	12220540200	6	8	10513914100	
7	0	1751249200	7	1	2104297100	7	2	282340	7	3	25941280	7	4	25440430	7	5	3075200	7	6	9187600	7	7	10085557900	7	8	8156279300	
8	0	1478687400	8	1	1442110900	8	2	285280	8	3	27789080	8	4	24336140	8	5	2744200	8	6	11501100	8	7	10302426900	8	8	13029779000	
9	0	1575158500	9	1	1441541000	9	2	369800	9	3	24967390	9	4	21976240	9	5	2679100	9	6	10940800	9	7	10414876900	9	8	8095305600	
10	0	1886232700	10	1	2604136000	10	2	290920	10	3	26509010	10	4	29063960	10	5	3085800	10	6	17428000	10	7	14462042100	10	8	7036159600	
11	0	1590193600	11	1	1429116000	11	2	353860	11	3	26999630	11	4	23001220	11	5	2837000	11	6	13436200	11	7	18953235500	11	8	6861119400	
12	0	1508905500	12	1	1670576800	12	2	319190	12	3	24144160	12	4	21428740	12	5	2712500	12	6	11160000	12	7	9889745500	12	8	8885996200	
13	0	1576447200	13	1	1511876200	13	2	334320	13	3	25403160	13	4	21923430	13	5	2603900	13	6	10852300	13	7	17742237000	13	8	7365617000	
14	0	1832031900	14	1	1241928600	14	2	346130	14	3	24541270	14	4	22165880	14	5	2811200	14	6	11015300	14	7	9131351500	14	8	7982943800	
15	0	1640904900	15	1	1424222100	15	2	271880	15	3	25627020	15	4	23793030	15	5	2963600	15	6	13490400	15	7	10507377200	15	8	13574562800	
16	0	1532794000	16	1	1417416200	16	2	415980	16	3	46410300	16	4	28021830	16	5	2659100	16	6	12550000	16	7	8959412600	16	8	7465053500	
17	0	1369369000	17	1	1254027300	17	2	346520	17	3	25570690	17	4	22000330	17	5	2775200	17	6	9654500	17	7	16444137700	17	8	7091027800	
18	0	1490986300	18	1	1468759200	18	2	265850	18	3	25175210	18	4	22427160	18	5	2460800	18	6	10782900	18	7	9912942800	18	8	9747978200	
19	0	1221566400	19	1	1492500400	19	2	333940	19	3	29480800	19	4	39046880	19	5	2768500	19	6	11210500	19	7	11797799400	19	8	12752703800	
